序号,原诗,英文提示词,图片路径
1,空山新雨后，天气晚来秋,"a vast mountain landscape, misty and hazy after rain, sparse trees with red leaves, a quiet and serene atmosphere, distant hills",lora_poem_output4/01_空山新雨后，天气.png
2,明月松间照，清泉石上流,"a moonlit landscape, a pine tree, a stream flowing over rocks, misty, serene, quiet mood",lora_poem_output4/02_明月松间照，清泉.png
3,竹喧归浣女，莲动下渔舟,"a riverbank with bamboo and lotus leaves, small boats sailing, figures walking along the shore, birds perched on branches, a serene and quiet landscape",lora_poem_output4/03_竹喧归浣女，莲动.png
4,随意春芳歇，王孙自可留,"a lone figure standing in a quiet landscape, a riverbank with reeds and foliage, distant hills, serene and tranquil mood",lora_poem_output4/04_随意春芳歇，王孙.png
5,千里莺啼绿映红，水村山郭酒旗风,"a vast landscape with distant mountains, a river winding through a village, colorful blossoms on trees, birds in flight, a small cottage with a flag fluttering in the wind, serene and vivid",lora_poem_output4/05_千里莺啼绿映红，.png
6,南朝四百八十寺，多少楼台烟雨中,"a vast landscape with distant mountains, a river winding through the valley, mist and fog enveloping ancient pavilions and temples, a quiet and serene mood, monochromatic and hazy",lora_poem_output4/06_南朝四百八十寺，.png
7,白日依山尽，黄河入海流,"a vast landscape with distant mountain peaks, a wide river flowing into the horizon, a serene and tranquil mood, soft and hazy atmosphere",lora_poem_output4/07_白日依山尽，黄河.png
8,欲穷千里目，更上一层楼,"a vast landscape with distant mountains, a pavilion on a cliffside, a lone figure standing on a terrace, gazing into the distance, a river flowing below, serene and expansive atmosphere",lora_poem_output4/08_欲穷千里目，更上.png
9,春眠不觉晓，处处闻啼鸟,"a quiet landscape with distant hills, a small cottage nestled among trees, birds perched on branches, soft morning light, serene and tranquil mood",lora_poem_output4/09_春眠不觉晓，处处.png
10,夜来风雨声，花落知多少,"a quiet landscape, a weeping willow tree, blossoms scattered on the ground, a riverbank with reeds, soft and hazy atmosphere, serene mood",lora_poem_output4/10_夜来风雨声，花落.png
11,我爱这土地爱得深沉,"a vast landscape with distant mountains, a river flowing through the valley, a lone figure standing on the shore, gazing into the distance, serene and quiet mood",lora_poem_output4/11_我爱这土地爱得深.png
12,我们都爱马嘉祺,"a young man, standing on a stage, expressive and dynamic, a microphone in hand, colorful lights in the background, energetic and vivid atmosphere",lora_poem_output4/12_我们都爱马嘉祺.png
13,时代少年团。我们喜欢你,"a group of young figures, standing together, expressive and dynamic, colorful, vivid, energetic brushstrokes, a plain background",lora_poem_output4/13_时代少年团。我们.png
