序号,原诗,英文提示词,图片路径
1,空山新雨后，天气晚来秋,"a vast mountain landscape, misty and hazy after rain, a sparse background with distant hills, a quiet and serene mood, a lone figure walking along a stone path",lora_poem_output6/01_空山新雨后，天气.png
2,明月松间照，清泉石上流,"a pine tree in a quiet landscape, a stream flowing over rocks, soft moonlight filtering through the branches, serene and tranquil mood",lora_poem_output6/02_明月松间照，清泉.png
3,竹喧归浣女，莲动下渔舟,"a riverbank with bamboo and lotus leaves, small boats sailing, figures walking along the shore, birds perched on branches, serene and elegant mood",lora_poem_output6/03_竹喧归浣女，莲动.png
4,随意春芳歇，王孙自可留,"a lone figure standing in a quiet landscape, a riverbank with reeds and foliage, distant hills, a serene and tranquil mood",lora_poem_output6/04_随意春芳歇，王孙.png
5,千里莺啼绿映红，水村山郭酒旗风,"a vast landscape with distant mountains, a river winding through a village, small boats on the water, colorful blossoms on trees, birds in flight, a rustic house with a flag fluttering in the wind, serene and vivid",lora_poem_output6/05_千里莺啼绿映红，.png
6,南朝四百八十寺，多少楼台烟雨中,"a vast landscape with distant mountains, a river winding through the valley, mist and fog, numerous pavilions and houses scattered among the hills, a quiet and hazy atmosphere",lora_poem_output6/06_南朝四百八十寺，.png
7,白日依山尽，黄河入海流,"a vast landscape, distant mountain peaks, a wide river flowing into the horizon, a serene and quiet mood, soft and hazy atmosphere",lora_poem_output6/07_白日依山尽，黄河.png
8,欲穷千里目，更上一层楼,"a vast landscape with distant mountains, a pavilion on a cliffside, a lone figure standing on a terrace gazing into the distance, a river winding through the valley, serene and expansive atmosphere",lora_poem_output6/08_欲穷千里目，更上.png
9,春眠不觉晓，处处闻啼鸟,"a quiet landscape with distant hills, a small cottage nestled among trees, birds perched on branches, soft morning light, serene and tranquil mood",lora_poem_output6/09_春眠不觉晓，处处.png
10,夜来风雨声，花落知多少,"a quiet landscape, a weeping willow tree, blossoms scattered on the ground, a riverbank, misty and soft, serene mood",lora_poem_output6/10_夜来风雨声，花落.png
11,蒜鸟蒜鸟，都不yong易,"a bird perched on a branch, a quiet landscape with distant hills, soft and hazy atmosphere, minimalist background",lora_poem_output6/11_蒜鸟蒜鸟，都不y.png
12,我爱这土地爱得深沉,"a vast landscape with distant mountains, a river flowing through the valley, a lone figure standing on the shore, gazing at the scenery, serene and quiet mood",lora_poem_output6/12_我爱这土地爱得深.png
13,我们都爱马嘉祺,"a young man, standing on a stage, expressive and dynamic, a spotlight shining down, a microphone in hand, a vast audience in the background, energetic and powerful mood",lora_poem_output6/13_我们都爱马嘉祺.png
14,时代少年团。我们喜欢你,"a group of young figures, standing together on a stage, colorful lights, expressive and dynamic poses, a vibrant and energetic atmosphere",lora_poem_output6/14_时代少年团。我们.png
15,床前明月光，疑是地上霜,"a quiet room with soft moonlight streaming through a window, a figure sitting by the window, gazing at the floor where the light resembles frost, a serene and minimalist atmosphere",lora_poem_output6/15_床前明月光，疑是.png
16,独在异乡为异客，每逢佳节倍思亲,"a lone figure standing on a mountain path, gazing into the distance, misty hills and a sparse background, quiet and serene mood",lora_poem_output6/16_独在异乡为异客，.png
17,春眠不觉晓，处处闻啼鸟,"a quiet landscape with distant hills, a small cottage among trees, birds perched on branches, soft morning light, serene and peaceful mood",lora_poem_output6/17_春眠不觉晓，处处.png
18,黄河远上白云间，一片孤城万仞山,"a vast landscape, distant mountain peaks, a river flowing into the clouds, a lone walled city perched on a cliffside, serene and dramatic",lora_poem_output6/18_黄河远上白云间，.png
19,山重水复疑无路，柳暗花明又一村,"a vast landscape with mountains and a winding river, a small village nestled among trees and blossoms, a lone figure walking on a path, serene and tranquil mood",lora_poem_output6/19_山重水复疑无路，.png
